S	Rodzaj	Symbol	Nazwa	Stan	Dostępne	J.m.	hurtowa netto	hurtowa brutto	Opis	CN
 	towar	SKT-4 P	SZCZOTKA - KOMPLET  250 CM/ 4 P	0	0	szt.	0	0	Z BOCZKAMI + KIJ	
 	towar	SKT	SZCZOTKA - KOMPLET	0	0	kpl.	0	0	żółta+kij	
 	towar	84211	SZCZOTKA - ESKA	0	0	szt.	3,94	4,85	ręczna	
 	towar	11334	SZCZOTKA  DO SZOROWANIA TWINGO	0	0	szt.	4,25	5,23	Multichem, ryżowa 	
 	towar	11102	SZCZOTKA - DO MYCIA TYPU TRUCK	0	0	szt.	0	0	do kija truck	
 	towar	B32216E	SZCZOTKA - DO MYCIA SAMOCHODÓW-33,5 cm	0	0	szt.	4,72	5,81	BOTTARI, RÓŻNE KOLORY	
 	towar	ASZ/TIR/0/M/G	SZCZOTKA  DO MYCIA MAX ZE ŚCIĄGACZKĄ / KĄTOWA	0	0	szt.	0	0	Kufieta	
 	towar	63101	SZCZOTKA - do KURZU - KULA	0	0	szt.	7,02	8,63	do pajęczyn	
 	towar	KO84311	SZCZOTKA - BISZKOPT	0	0	szt.	3,95	4,86	CHEMDOM RYŻOWA, CRAWTICO, A 02-018, ręczna	
 	towar	SZCZ/ZĘB	SZCZOTECZKA DO ZĘBÓW	0	0	szt.	0	0		
 	towar	9113	SZCZOT.D/RĄK.OKR.UCHW	0	0	szt.	0	0		
 	towar	2089	SZCZĘKI HAMULCOWE F-126	0	0	szt.	0	0		
 	towar	SZW	SZAMPON Z WOSKIEM MOTORYNKA 1 L	0	0	szt.	0	0	Auchan	
 	towar	BK98103	Szampon z woskiem GRAND PRIX 1L samochodowy 	0	0	szt.	2,78	3,42	Bottari	
 	towar	BK98090	Szampon z woskiem BOTTARI 1L	0	0	szt.	6,27	7,71	Bottari	
 	towar	313.200- ETRA	SZAMPON Z WOSKIEM 500ML	0	0	szt.	16,35	20,11		3402 20 90
 	towar	313.200	SZAMPON Z WOSKIEM 500ML	0	0	szt.	17,58	21,62		3402 20 90
 	towar	BK98965	Szampon z woskiem 1L PIT STOP samochodowy	0	0	szt.	2,97	3,65	Bottari	
 	towar	215.300	SZAMPON XTREME 2W1 	0	0	szt.	19,98	24,58	koncentrat	3402 20 90
 	towar	613.705	SZAMPON WSPOMAGAJĄCY OSUSZANIE 25L- 613	0	0	szt.	407,35	501,04	wycofany, dwufunkcyjny	
 	towar	613.700	SZAMPON WSPOMAGAJĄCY OSUSZANIE 20L - 613	0	0	szt.	196,4	241,57	wycofany	
 	towar	SC11810/10	SZAMPON W POSTACI PIANY 10KG	0	0	szt.	100	123		
 	towar	TRAKER/W	SZAMPON TRAKER Z WOSKIEM 1 L	0	0	szt.	0	0	Auchan	
 	towar	TRAKER	SZAMPON TRAKER 1L	0	0	szt.	0	0	Auchan	
 	towar	BK98966	Szampon samochodowy PIT STOP 1L	0	0	szt.	2,86	3,52	Bottari	
 	towar	SS/5L	SZAMPON SAMOCHODOWY 5L	0	0	szt.	0	0		
 	towar	RO-SS/5	Szampon Samochodowy 5kg	0	0	szt.	0	0		
 	towar	RO-SS/25	Szampon Samochodowy 25kg	0	0	szt.	0	0		
 	towar	BK98129	Szampon samochodowy 1l GP GRAND PRIX	0	0	szt.	3,13	3,85	Bottari	
 	towar	BK98091	Szampon samochodowy 1L BOTTA	0	0	szt.	5,29	6,51	Bottari	
 	towar	314.341	SZAMPON SAMOCHODOWY 1L	0	0	szt.	11,98	14,74	koncentrat (z babą)	
 	towar	PS24893	Szampon samochodowy 1 L PIT ST	0	0	szt.	2,58	3,17	Bottari	
 	towar	PULWER NEW	SZAMPON PULVER NEW  20 KG	0	0	szt.	200	246	Proszek do myjni samoobsługowych, BEZ ZAPACHU	
 	towar	NA05/1	SZAMPON NEUTRO NANO 1L.	0	0	szt.	17,26	21,23	wycofany	
 	towar	A05-5	SZAMPON NEUTRO 5L	0	0	szt.	53,03	65,23		3402 20 90
 	towar	A05/20	SZAMPON NEUTRO 20L	0	0	szt.	203,51	250,32		3402 20 90
 	towar	A05/10	SZAMPON NEUTRO 10L	0	0	szt.	104,54	128,58	mycie ręczne pojazdów	3402 20 90
 	towar	A05/1	SZAMPON NEUTRO 1 L	0	0	szt.	13,64	16,78		3402 20 90
 	towar	522.705	SZAMPON NABŁYSZCZAJĄCY 25 L - 522	0	0	szt.	352	432,96	NABŁYSZCZAJĄCY . Koncentrat(DO MYCIA RĘCZNEGO)	3402 90 90
 	towar	314.300	SZAMPON NABŁYSZCZAJĄCY 1L	0	0	szt.	13,98	17,2	koncentrat 	3402 20 90
 	towar	314.200	SZAMPON NABŁYSZCZAJĄCY 	0	0	szt.	11,5	14,15	 WYPROWADZIĆ 314,300 wycofany	3402 20 90
 	towar	328.541	SZAMPON HAVANA 2 L KONC.	0	0	szt.	21,99	27,05		
 	towar	328.541 PROMOCJA	SZAMPON HAVANA 2 L KONC.	0	0	szt.	21,99	27,05	PROMOCJA	
 	towar	324.541	SZAMPON GREEN LEMON 2 L KONCENTRAT	0	0	szt.	17,3	21,28	wycofany, KONCENTRAT, nadaje się do myjek ciśnieniowych 	3402 20 90
 	towar	642.700	SZAMPON FORMUŁA PLUS	0	0	szt.	195	239,85		
 	towar	K131	SZAMPON EXPRESS 1L	0	0	szt.	4,65	5,72	K2	
 	towar	A-3	SZAMPON DO SZCZOTEK	0	0	szt.	0	0		
 	towar	314.500	SZAMPON DO MYCIA RĘCZNEGO KONCENTRAT 5L	0	0	szt.	90,39	111,18	25%, 	3402 20 90
 	towar	314.600	SZAMPON DO MYCIA RĘCZNEGO KONCENTRAT 10L	0	0	szt.	85,19	104,78	wycofany	3402 20 90
 	towar	SMR/5	SZAMPON DO MYCIA RĘCZNEGO 5L	0	0	szt.	0	0		
 	towar	SMR/1	SZAMPON DO MYCIA RĘCZNEGO 1L	0	0	szt.	0	0		
 	towar	SMR/25	SZAMPON DO MYCIA RECZNEGO 25L	0	0	szt.	0	0		
 	towar	600.705	SZAMPON DO MYCIA MECHANICZNEGO LIMIT 25L - 600	0	0	szt.	322,9	397,17	koncentrat, ZAMIENNIK 662.705	3402 90 90
 	towar	600.700	SZAMPON DO MYCIA MECHANICZNEGO LIMIT 20L - 600	0	0	szt.	189	232,47	wycofany	
 	towar	SZAMPON -PROMOCJA	SZAMPON CLASSIC CLEAN 250ML	0	0	szt.	0	0	H&S	
 	towar	605.700	SZAMPON ALKALICZNY 20L	0	0	szt.	231	284,13		
 	towar	214.200	SZAMPON AKTYWNY	0	0	szt.	14,36	17,66	wycofany	
 	towar	0367	SYRENA COFANIA	0	0	szt.	13,19	16,22		
 	towar	B405N	SYNTHETIC GREASE - SMAR DO TŁOCZKÓW HAMULCOWYCH	0	0	szt.	3,9	4,8		
 	towar	0366	SYGNAŁ COFANIA MELODIA;CHROM/SPL600	0	0	szt.	12,11	14,9		
 	towar	474.141	SX90 100ML	0	0	szt.	9,39	11,55		3403 19 80
 	towar	662.705	SX SZAMPON   25 L	0	0	szt.	475	584,25	NABŁYSZCZAJĄCY	
 	towar	474.400	SX SX90 PLUS EASY 400 ML	0	0	szt.	20,98	25,81		
 	usługa	SUM	SUSZENIE MYJKI	0	0	szt.	0	0	Quadro 1200 (MT30071233)	
 	towar	GSX1900A	SUSZARKA GSX 1900A	0	0	szt.	0	0		
 	towar	PARY-1780	SURE 300ML	0	0	szt.	17,23	21,19		
 	towar	10510/30	SUPERPOLISH 30L	0	0	szt.	261	321,03	gorący wosk	
 	towar	10510/3/1	SUPERPOLISH 1L	0	0	litr	0	0		
 	towar	SC/25	SUPERCAR 25KG	0	0	szt.	219	269,37		
 	towar	WIADRO	SUPER WIADRO 	0	0	szt.	0	0	wiadro vileda 	
 	towar	CARAMBA/6612011	SUPER SPRAY WIELOFUNKCYJNY 500ML	0	0	szt.	0	0		3403 19 80
 	towar	SPS100	SUPER PLASTIC SHINE - POŁYSK 100ML	0	0	szt.	5,69	7	KEMKO,Mleczko do kokpitu połysk	
