sku;stock;price_purchase_net;price_sale_net;price_sale_gross
CART0053;0;;;
CART0054;0;15.33;26.82;32.99
CART0055;0;;;
CART0056;0;31.18;56.9;69.99
CART0057;0;24.98;45.52;55.99
CART0058;0;;;
CART0059;0;44.82;73.16;89.99
CART0060;0;40.3;67.47;82.99
CART0061;0;;;
CART0062;0;;;
CART0063;0;;;
CART0064;0;515.61;937.47;1153.09
CART0065;1;15.33;97.55;119.99
CART0066;0;14.27;24.38;29.99
CART0067;1;26.16;40.64;49.99
CART0068;0;;;
CART0069;0;24.75;40.64;49.99
CART0070;0;37;67.47;82.99
CART0071;9;7.29;12.19;14.99
CART0072;26;6.83;14.05;17.28
CART0073;0;22.43;37.39;45.99
CART0074;2;26.52;44.71;54.99
CART0075;0;44.4;73.16;89.99
CART0076;1;56.85;94.3;115.99
CART0077;0;26.25;38.2;46.99
CART0078;0;;;
CART0079;0;27.89;48.77;59.99
CART0080;0;6.04;8.93;10.99
CART0081;0;22.5;32.51;39.99
CART0082;0;23.17;28.45;34.99
CART0083;0;;;
CART0084;0;24.1;31.7;38.99
CART0085;0;135.98;227.63;279.99
CART0086;0;45.67;81.29;99.99
CART0088;0;11.59;21.13;25.99
CART0089;0;43.35;75.6;92.99
CART0090;0;32.26;59.34;72.99
CART0091;0;180.72;317.07;389.99
CART0092;1;38.98;66.66;81.99
CART0093;0;16.12;30.89;37.99
CART0094;0;31.18;52.02;63.99
CART0095;0;164.88;276.65;340.28
CART0096;0;66.6;121.94;149.99
CART0097;0;60.7;105.68;129.99
CART0098;0;155.4;260.15;319.99
CART0099;0;;;
CART0100;0;68.16;123.93;152.43
CART0101;0;79.26;134.14;164.99
CART0102;0;68.22;117.88;144.99
CART0103;0;137.4;249.82;307.28
CART0104;7;22.71;38.2;46.99
CART0105;0;148.54;252.02;309.99
CART0106;2;4.2;8.12;9.99
CART0107;1;44.51;74.79;91.99
CART0108;0;66.5;105.68;129.99
CART0109;10;19.32;32.51;39.99
CART0110;0;16.38;28.45;34.99
CART0111;3;50.65;85.36;104.99
CART0112;4;71.71;130.07;159.99
CART0113;1;41.26;69.1;84.99
CART0114;3;31.98;53.65;65.99
CART0115;0;19.55;28.45;34.99
CART0116;0;14.05;20.32;24.99
CART0117;3;43.08;81.29;99.99
CART0118;3;52.24;89.42;109.99
CART0119;7;24.3;40.64;49.99
CART0120;2;149.11;268.28;329.99
CART0121;1;38.47;65.03;79.99
CART0122;0;52.9;81.29;99.99
CART0123;0;;;
CART0124;0;;;
CART0125;0;31.35;46.33;56.99
CART0126;0;21.65;31.7;38.99
CART0127;0;24.75;38.2;46.99
CART0128;0;23.78;39.83;48.99
CART0129;0;437;439.02;539.99
CART0130;0;;;
CART0131;0;;;
CART0132;0;72.28;121.94;149.99
CART0133;3;30.73;52.84;64.99
CART0134;0;;;
CART0135;8;25.55;44.71;54.99
CART0136;0;72.85;121.94;149.99
CART0137;0;101;134.14;164.99
CART0138;0;91.62;152.84;187.99
CART0139;1;26.92;48.77;59.99
CART0140;3;85.93;146.33;179.99
CART0141;3;35.91;65.03;79.99
CART0142;2;25.55;46.33;56.99
CART0143;1;40.92;72.35;88.99
CART0144;1;88.78;117.88;144.99
CART0145;1;620.33;1121.94;1379.99
CART0146;2;28.57;52.02;63.99
CART0151;0;;;
CART0153;1;96.74;149.59;183.99
CART0156;0;;;
CART0157;0;;;
CART0158;0;;;
CART0159;0;;;
CART0160;0;;;
CART0161;0;;;
CART0162;3;1.15;2.43;2.99
CART0163;7;9.9;16.25;19.99
CART0165;0;;;
CART0168;2;24;43.08;52.99
CART0169;0;10.25;14.63;17.99
CART0170;0;18.29;24.38;29.99
CART0171;0;;;
CART0172;0;;;
CART0174;0;;;
CART0175;0;3.25;6.5;7.99
CART0176;2;6.04;11.37;13.99
CART0177;0;14.5;20.32;24.99
CART0178;0;;;
CART0181;0;;;
CART0183;0;;;
CART0184;0;29.02;47.96;58.99
CART0186;0;11.8;20.32;24.99
CART0190;0;30.25;43.08;52.99
CART0191;0;43.8;62.59;76.99
CART0193;0;25.5;32.51;39.99
CART0194;0;12.09;16.25;19.99
CART0197;1;128;162.59;199.99
CART0199;0;5.36;8.12;9.99
CART0200;0;;;
CART0201;0;;;
CART0202;2;16.45;30.07;36.99
CART0203;0;;;
CART0204;0;;;
CART0205;0;;;
CART0206;0;;;
CHE000001;0;3.87;6.5;7.99
CHE000002;3;50;110.56;135.99
CHE000003;3;89;183.73;225.99
CHE000004;0;;;
CHE000005;0;;;
CHE000006;0;;;
CHE000007;0;92;162.59;199.99
CHE000008;0;268;433.33;532.99
CHE000010;42;8.7;22.76;27.99
CHE000011;4;62;138.2;169.99
CHE000012;1;30;56.9;69.99
CHE000013;2;35.01;195.11;239.99
CHE000014;0;136;272.35;334.99
CHE000015;0;;;
CHE000016;0;;;
CHE000017;8;94.66;170.72;209.99
CHE000018;0;;;
CHE000019;0;;;
CHE000020;0;;;
CHE000021;0;;;
CHE000022;2;35;65.03;79.99
CHE000023;1;35;65.03;79.99
CHE000024;0;;;
CHE000025;0;15;186.98;229.99
CHE000029;4;31.3;60.97;74.99
CHE000030;3;27.32;51.21;62.99
CHE000031;2;22.76;43.08;52.99
CHE000032;0;19.86;30.89;37.99
CHE000033;7;2.8;8.93;10.99
CHE000034;6;30.73;72.35;88.99
CHE000035;2;96.69;175.6;215.99
CHE000036;5;45.47;81.29;99.99
CHE000037;0;34.48;58.53;71.99
CHE000038;1;166;291.05;357.99
CHE000039;0;;;
CHE000040;1;189.5;317.07;389.99
CHE000041;0;;;
CHE000042;8;7.5;29.26;35.99
CHE000043;0;11.2;28.45;34.99
CHE000044;0;210;386.15;474.96
CHE000045;0;;;
CHE000046;14;25;73.16;89.99
CHE000047;0;21.34;37.39;45.99
CHE000048;0;;;
CHE000049;2;3.25;6.5;7.99
CHE000050;0;24.38;43.08;52.99
CHE000051;4;25.55;65.85;80.99
CHE000052;0;25.37;46.13;56.74
CHE000053;0;67.64;97.55;119.99
CHE000054;0;63.37;115.44;141.99
CHE000055;16;5;97.55;119.99
CHE000056;0;37.94;69.1;84.99
CHE000058;0;10.63;19.5;23.99
CHE000059;5;22.71;40.64;49.99
CHE000060;0;73.39;164.22;201.99
CHE000061;0;;;
CHE000062;0;;;
CHE000063;28;37.8;76.36;93.92
CHE000064;0;80.08;145.6;179.09
CHE000065;2;198.92;368.38;453.11
CHE000066;6;36.78;66.87;82.25
CHE000067;3;83.19;251.38;309.2
CHE000068;3;101.7;178.85;219.99
CHE000069;0;35;63.64;78.28
CHE000070;6;23.1;252;309.96
CHE000071;0;10;10;12.3
CHE000072;0;8;8;9.84
CHE000073;0;8;8;9.84
CHE000074;0;42.68;77.23;94.99
CHE000075;0;198.68;361.24;444.33
CHE000076;0;204.73;372.24;457.86
CHE000077;0;73.39;164.22;201.99
CHE000078;0;76.83;130.07;159.99
CHE000079;2;78.61;151.21;185.99
CHE000080;0;88.02;160.04;196.85
CHE000081;74;9;17.88;21.99
CHE000082;7;215;421.25;518.14
CHE000083;6;55;110;135.3
CHE000084;20;62;142.27;174.99
CHE000085;2;42.12;73.16;89.99
CHE000086;3;105;288.61;354.99
CHE000087;2;64.69;121.94;149.99
CIDL0002;23;1.1;415.58;511.16
CIDL0003;0;;;
CIDL0004;0;275.12;499.99;614.99
CIDL0005;0;222.38;386.98;475.99
CIDL0006;9;193.18;351.24;432.03
CIDL0007;0;195.9;404.06;496.99
CIDL0008;13;13.03;51.95;63.9
CIDL0010;0;918.9;2686.98;3304.99
CIDL0011;67;14.07;31.24;38.43
CIDL0012;26;18.35;33.36;41.03
CIDL0013;42;27.16;48.77;59.99
CIDL0014;52;23.86;41.46;50.99
CIDL0017;0;;;
CIDL0018;1;229.87;416.25;511.99
CIDL0023;0;326.48;542.58;585.99
CIDL0024;1;47.62;128.45;157.99
CIDL0025;0;;;
CIDL0026;3;547.28;995.05;1223.91
CIDL0027;28;1.1;199.18;244.99
CIDL0028;42;32.97;65.95;81.12
CIDL0032;0;;;
CIDL0033;4;107.55;186.98;229.99
CIDL0034;27;185.03;344.78;424.08
CIDL0036;2;237.89;432.53;532.01
CIDL0037;1;436.57;793.49;975.99
CIDL0038;12;218.05;396.44;487.62
CIDL0039;30;9.71;30.89;37.99
CIDL0040;32;16.36;36.8;45.26
CIDL0041;25;16.95;30.82;37.91
CIDL0044;0;;;
CIDL0045;1;403.81;731.7;899.99
CIDL0046;0;;;
CIDL0054;0;;;
CIDL0055;4;466;847.27;915.05
CIDL0056;0;;;
CIDL0057;6;146.42;243.89;299.99
CIDL0061;0;;;
CIDL0062;5;219.25;398.65;490.34
CIDL0063;2;209.99;381.8;469.61
CIDL0064;5;184.43;335.33;362.16
CIDL0066;0;;;
CIDL0067;2;272.5;495.47;609.43
CIDL0068;0;1372.8;4918.69;6049.99
CIDL0069;0;;;
CIDL0070;3;260.81;474.2;583.27
CIDL0071;14;26.85;53.69;66.04
CIDL0074;1;266.06;483.75;595.01
CIDL0075;1;54.39;135.98;167.26
CIDL0076;0;;;
CIDL0077;0;300.04;544.71;669.99
CIDL0078;0;;;
CIDL0079;0;;;
CIDL0081;1;73.19;133.07;163.68
CIDL0083;0;;;
CIDL0084;4;248.54;497.07;611.4
CIDL0085;0;;;
CIDL0086;3;10.3;20.32;24.99
CIDL0087;4;15.44;28.07;34.53
CIDL0090;1;21.53;28.45;34.99
CIDL0091;2;13.19;24.38;29.99
CIDL0092;24;11.62;24.38;29.99
CIDL0095;0;;;
CIDL0096;0;;;
CIDL0097;0;;;
CIDL0098;0;34.71;66.66;81.99
CIDL0099;7;49.56;89.42;109.99
CIDL0100;6;59.64;107.4;115.99
CIDL0101;0;;;
CIDL0103;0;;;
CIDL0104;0;842.69;1532.51;1884.99
CIDL0105;0;628.07;1142.27;1404.99
CIDL0107;28;10.88;28.45;34.99
